ft,st,ftfps,ftfpr,ftsps,ftspr,fttps,fttpr,stfps,stfpr,stsps,stspr,sttps,sttpr,data
Ак Барс,Металлург Мг,2,15,14,4,11,9,16,1,6,12,10,9,18.02.2019
Динамо Мск,Трактор,5,4,19,3,12,5,4,5,3,19,6,12,18.02.2019
Йокерит,Спартак,5,6,13,5,8,10,7,3,7,12,11,6,18.02.2019
СКА,Локомотив,7,7,8,12,8,6,7,6,12,6,6,7,18.02.2019
ЦСКА,Витязь,15,1,12,5,14,4,1,12,5,11,5,12,18.02.2019
Автомобилист,Нефтехимик,10,8,12,11,11,6,9,7,13,11,6,10,18.02.2019
Адмирал,Барыс,7,3,15,10,8,15,3,6,10,15,16,7,18.02.2019
Амур,Куньлунь РС,5,9,30,5,15,7,10,4,5,26,8,13,18.02.2019
Динамо Мн,ХК Сочи,13,8,11,1,11,9,8,13,3,11,10,10,17.02.2019
Нефтехимик,Металлург Мг,13,10,11,11,11,5,11,13,13,11,6,11,16.02.2019
Северсталь,Трактор,10,8,4,9,9,2,9,8,9,2,3,9,16.02.2019
Торпедо,Сибирь,11,9,10,3,2,12,10,10,4,7,13,1,16.02.2019
Барыс,Авангард,12,11,7,19,12,13,11,11,19,7,14,12,16.02.2019
Адмирал,Салават Юлаев,12,10,22,12,8,9,12,12,12,21,9,7,16.02.2019
Амур,Куньлунь РС,9,6,16,4,5,10,6,8,4,15,12,5,16.02.2019
Динамо Р,Динамо Мн,10,12,16,9,11,13,12,9,10,15,13,10,15.02.2019
Динамо Мск,ХК Сочи,11,5,11,12,11,7,6,11,12,9,8,11,15.02.2019
СКА,Йокерит,14,6,8,11,8,14,7,12,11,8,15,5,15.02.2019
ЦСКА,Слован,7,3,11,7,8,4,3,6,7,8,5,8,15.02.2019
Локомотив,Витязь,17,5,15,4,10,11,5,17,6,12,12,9,15.02.2019
Автомобилист,Ак Барс,10,7,10,11,10,6,8,10,13,10,6,10,15.02.2019
Нефтехимик,Сибирь,18,6,7,9,5,7,7,14,11,7,8,5,14.02.2019
Барыс,Куньлунь РС,18,5,9,6,12,14,5,17,6,8,15,11,14.02.2019
Адмирал,Салават Юлаев,11,3,11,9,13,10,3,8,9,11,10,13,14.02.2019
Амур,Авангард,11,9,10,7,8,8,9,10,8,8,9,8,14.02.2019
Слован,Динамо Мн,8,8,12,14,10,6,10,7,14,11,6,9,13.02.2019
Ак Барс,ЦСКА,5,4,5,4,12,6,7,4,4,5,6,11,13.02.2019
Динамо Мск,Йокерит,7,14,8,9,11,6,14,7,10,5,8,9,13.02.2019
Спартак,СКА,6,7,8,5,4,7,7,6,6,8,8,4,13.02.2019
Локомотив,Торпедо,9,9,9,9,15,8,9,9,10,8,9,14,13.02.2019
Металлург Мг,Витязь,13,6,14,8,12,9,6,13,9,12,9,10,13.02.2019
Трактор,Северсталь,14,10,13,8,7,11,10,13,9,13,11,7,13.02.2019
Барыс,Сибирь,16,9,15,7,15,3,9,16,8,13,4,12,12.02.2019
Адмирал,Авангард,10,3,12,13,9,6,4,10,14,12,6,9,12.02.2019
Амур,Салават Юлаев,11,3,6,6,6,10,3,10,6,5,12,5,12.02.2019
Динамо Р,Йокерит,8,6,1,11,4,15,6,7,12,0,15,3,11.02.2019
Слован,ЦСКА,6,7,11,11,3,13,7,6,12,10,16,3,11.02.2019
Динамо Мн,Локомотив,5,9,2,8,7,13,9,5,11,2,13,7,11.02.2019
СКА,Северсталь,12,8,7,10,14,9,9,9,10,6,9,14,11.02.2019
ХК Сочи,Витязь,6,12,8,14,8,7,12,6,16,7,7,7,11.02.2019
Спартак,Динамо Мск,5,7,8,12,15,4,8,5,15,7,5,15,11.02.2019
Автомобилист,Торпедо,13,7,17,4,9,16,8,12,7,13,17,8,11.02.2019
Трактор,Нефтехимик,11,6,8,7,18,5,7,10,9,8,5,18,11.02.2019
